,Azimuth,Elevation
0,0.0,39.0
1,0.0,39.0
2,0.0,39.0
3,0.0,39.0
4,0.0,39.0
5,1.0,39.0
6,1.0,39.0
7,1.0,39.0
8,1.0,39.0
9,1.0,39.0
10,1.0,39.0
11,1.0,39.0
12,1.0,39.0
13,1.0,39.0
14,1.0,39.0
15,2.0,39.0
16,2.0,39.0
17,2.0,39.0
18,2.0,39.0
19,2.0,39.0
20,2.0,39.0
21,2.0,39.0
22,2.0,39.0
23,2.0,39.0
24,2.0,39.0
25,2.0,39.0
26,3.0,39.0
27,3.0,39.0
28,3.0,39.0
29,3.0,39.0
30,3.0,39.0
31,3.0,39.0
32,3.0,39.0
33,3.0,39.0
34,3.0,39.0
35,3.0,39.0
36,3.0,39.0
37,3.0,39.0
38,3.0,39.0
39,4.0,39.0
40,4.0,39.0
41,4.0,39.0
42,4.0,39.0
43,4.0,39.0
44,4.0,39.0
45,4.0,39.0
46,4.0,39.0
47,4.0,39.0
48,4.0,39.0
49,4.0,39.0
50,5.0,39.0
51,5.0,39.0
52,5.0,39.0
53,5.0,39.0
54,5.0,39.0
55,5.0,39.0
56,5.0,39.0
57,5.0,39.0
58,5.0,39.0
59,5.0,39.0
60,5.0,39.0
61,6.0,39.0
62,6.0,39.0
63,6.0,39.0
64,6.0,39.0
65,6.0,39.0
66,6.0,39.0
67,6.0,39.0
68,6.0,39.0
69,6.0,39.0
70,6.0,39.0
71,6.0,39.0
72,7.0,39.0
73,7.0,38.0
74,7.0,38.0
75,7.0,38.0
76,7.0,38.0
77,7.0,38.0
78,7.0,38.0
79,7.0,38.0
80,7.0,38.0
81,7.0,38.0
82,8.0,38.0
83,8.0,38.0
84,8.0,38.0
85,8.0,38.0
86,8.0,38.0
87,8.0,38.0
88,8.0,38.0
89,8.0,38.0
90,8.0,38.0
91,8.0,38.0
92,8.0,38.0
93,9.0,38.0
94,9.0,38.0
95,9.0,38.0
96,9.0,38.0
97,9.0,38.0
98,9.0,38.0
99,9.0,38.0
100,9.0,38.0
101,9.0,38.0
102,9.0,38.0
103,9.0,38.0
104,10.0,38.0
105,10.0,38.0
106,10.0,38.0
107,10.0,38.0
108,10.0,38.0
109,10.0,38.0
110,10.0,38.0
111,10.0,38.0
112,10.0,38.0
113,10.0,38.0
114,10.0,38.0
115,11.0,38.0
116,11.0,38.0
117,11.0,38.0
118,11.0,38.0
119,11.0,38.0
120,11.0,38.0
121,11.0,38.0
122,11.0,38.0
123,11.0,38.0
124,11.0,38.0
125,11.0,38.0
126,12.0,38.0
127,12.0,38.0
128,12.0,38.0
129,12.0,38.0
130,12.0,38.0
131,12.0,38.0
132,12.0,38.0
133,12.0,38.0
134,12.0,38.0
135,12.0,38.0
136,12.0,38.0
137,12.0,38.0
138,12.0,38.0
139,13.0,38.0
140,13.0,38.0
141,13.0,38.0
142,13.0,38.0
143,13.0,38.0
144,13.0,38.0
145,13.0,38.0
146,13.0,38.0
147,13.0,38.0
148,13.0,38.0
149,13.0,38.0
150,14.0,38.0
151,14.0,38.0
152,14.0,38.0
153,14.0,38.0
154,14.0,38.0
155,14.0,38.0
156,14.0,38.0
157,14.0,38.0
158,14.0,38.0
159,14.0,38.0
160,14.0,38.0
161,14.0,38.0
162,14.0,38.0
163,15.0,38.0
164,15.0,38.0
165,15.0,38.0
166,15.0,37.0
167,15.0,37.0
168,15.0,37.0
169,15.0,38.0
170,15.0,38.0
171,15.0,38.0
172,15.0,38.0
173,15.0,38.0
174,15.0,38.0
175,15.0,38.0
176,16.0,38.0
177,16.0,37.0
178,16.0,37.0
179,16.0,37.0
180,16.0,37.0
181,16.0,37.0
182,16.0,37.0
183,16.0,37.0
184,16.0,37.0
185,16.0,37.0
186,16.0,37.0
187,16.0,37.0
188,17.0,37.0
189,17.0,37.0
190,17.0,37.0
191,17.0,37.0
192,17.0,37.0
193,17.0,37.0
194,17.0,37.0
195,17.0,37.0
196,17.0,37.0
197,17.0,37.0
198,17.0,37.0
199,17.0,37.0
200,17.0,37.0
201,18.0,37.0
202,18.0,37.0
203,18.0,37.0
204,18.0,37.0
205,18.0,37.0
206,18.0,37.0
207,18.0,37.0
208,18.0,37.0
209,18.0,37.0
210,18.0,37.0
211,18.0,37.0
212,18.0,37.0
213,19.0,37.0
214,19.0,37.0
215,19.0,37.0
216,19.0,37.0
217,19.0,37.0
218,19.0,37.0
219,19.0,37.0
220,19.0,37.0
221,19.0,37.0
222,19.0,37.0
223,19.0,37.0
224,19.0,37.0
225,19.0,37.0
226,20.0,37.0
227,20.0,36.0
228,20.0,36.0
229,20.0,36.0
230,20.0,36.0
231,20.0,36.0
232,20.0,37.0
233,20.0,37.0
234,20.0,37.0
235,20.0,37.0
236,20.0,37.0
237,20.0,37.0
238,20.0,37.0
239,21.0,37.0
240,21.0,36.0
241,21.0,36.0
242,21.0,36.0
243,21.0,36.0
244,21.0,36.0
245,21.0,36.0
246,21.0,36.0
247,21.0,36.0
248,21.0,36.0
249,21.0,36.0
250,21.0,36.0
251,21.0,36.0
252,21.0,36.0
253,22.0,36.0
254,22.0,36.0
255,22.0,36.0
256,22.0,36.0
257,22.0,36.0
258,22.0,36.0
259,22.0,36.0
260,22.0,36.0
261,22.0,36.0
262,22.0,36.0
263,22.0,36.0
264,22.0,36.0
265,22.0,36.0
266,23.0,36.0
267,23.0,36.0
268,23.0,36.0
269,23.0,36.0
270,23.0,36.0
271,23.0,36.0
272,23.0,36.0
273,23.0,36.0
274,23.0,36.0
275,23.0,36.0
276,23.0,36.0
277,23.0,36.0
278,24.0,36.0
279,24.0,36.0
280,24.0,36.0
281,24.0,36.0
282,24.0,36.0
283,24.0,36.0
284,24.0,36.0
285,24.0,36.0
286,24.0,36.0
287,24.0,36.0
288,24.0,36.0
289,24.0,35.0
290,24.0,35.0
291,24.0,35.0
292,25.0,35.0
293,25.0,36.0
294,25.0,36.0
295,25.0,36.0
296,25.0,36.0
297,25.0,36.0
298,25.0,35.0
299,25.0,35.0
300,25.0,35.0
301,25.0,35.0
302,25.0,35.0
303,25.0,35.0
304,26.0,35.0
305,26.0,35.0
306,26.0,35.0
307,26.0,35.0
308,26.0,35.0
309,26.0,35.0
310,26.0,35.0
311,26.0,35.0
312,26.0,35.0
313,26.0,35.0
314,26.0,35.0
315,26.0,35.0
316,26.0,35.0
317,27.0,35.0
318,27.0,35.0
319,27.0,35.0
320,27.0,35.0
321,27.0,35.0
322,27.0,35.0
323,27.0,35.0
324,27.0,35.0
325,27.0,35.0
326,27.0,35.0
327,27.0,35.0
328,27.0,35.0
329,27.0,17.0
330,27.0,35.0
331,27.0,18.0
332,27.0,18.0
333,27.0,15.0
334,27.0,18.0
335,27.0,18.0
336,27.0,19.0
337,27.0,19.0
338,27.0,19.0
339,27.0,19.0
340,27.0,20.0
341,27.0,20.0
342,27.0,20.0
343,27.0,17.0
344,27.0,20.0
345,27.0,18.0
346,27.0,21.0
347,27.0,18.0
348,27.0,15.0
349,27.0,21.0
350,27.0,18.0
351,27.0,15.0
352,27.0,35.0
353,27.0,18.0
354,27.0,21.0
355,27.0,18.0
356,27.0,19.0
